####################
# Startup Complete #
####################
#{"device_name": "ECE362CarTeam07",
#  "pid": [0.450000,0.060000,0.000000]
#}
#{"csv": "
time (ms), bus_voltage (mV), shunt_voltage (V), load_voltage (V), total_current (mA), power (mW), arrowX (px), steering %, speed setting 
18038, 11.908, 100.230, 12.008, 1010.100, 12020.000, -40, 18, 2
18046, 11.900, 96.920, 11.997, 959.000, 11414.000, -40, 18, 2
18054, 11.904, 94.820, 11.999, 930.700, 11570.000, -40, 18, 2
18062, 11.724, 151.340, 11.875, 1472.600, 17276.000, -40, 18, 2
18069, 11.740, 139.880, 11.880, 1344.100, 15800.000, -40, 18, 2
18077, 11.780, 133.880, 11.914, 1340.500, 15516.000, -40, 18, 2
18085, 11.816, 126.470, 11.942, 1224.000, 14464.000, -40, 18, 2
18093, 11.820, 128.240, 11.948, 1258.200, 14166.000, 80, -36, 2
18101, 11.800, 114.530, 11.915, 1126.100, 13566.000, 80, -36, 2
18109, 11.836, 118.800, 11.955, 1146.100, 13570.000, 80, -36, 2
18117, 11.844, 111.550, 11.956, 1666.900, 22932.000, 80, -36, 2
18125, 11.576, 185.420, 11.761, 1809.300, 20958.000, 136, -61, 2
18133, 11.636, 171.230, 11.807, 1706.600, 19926.000, 136, -61, 2
18141, 11.708, 151.280, 11.859, 1511.900, 17368.000, 136, -61, 2
18149, 11.756, 142.230, 11.898, 1419.000, 16682.000, -32, 14, 5
18156, 11.600, 188.500, 11.789, 2102.100, 23476.000, -32, 14, 4
18164, 10.972, 222.370, 11.194, 2204.500, 24402.000, -32, 14, 5
18172, 11.384, 212.310, 11.596, 2084.500, 23980.000, -32, 14, 5
18180, 11.604, 207.060, 11.811, 2079.500, 24220.000, -32, 14, 5
18188, 11.668, 190.950, 11.859, 1971.500, 22498.000, 80, -36, 1
18196, 11.832, 126.270, 11.958, 1912.200, 22076.000, 80, -36, 3
18204, 11.628, 168.460, 11.796, 1763.800, 19858.000, 80, -36, 2
18212, 11.688, 160.720, 11.849, 1552.100, 18166.000, 80, -36, 2
18220, 11.712, 142.520, 11.855, 1436.400, 16876.000, 152, -68, 2
18228, 11.764, 134.140, 11.898, 1354.400, 15546.000, 152, -68, 2
18236, 11.828, 109.580, 11.938, 1231.100, 14516.000, 152, -68, 2
18244, 11.800, 117.240, 11.917, 1186.700, 14032.000, 152, -68, 2
18252, 11.816, 117.910, 11.934, 1221.400, 13504.000, 152, -68, 2
18260, 11.796, 123.230, 11.919, 1215.900, 14366.000, 152, -68, 2
18267, 11.812, 113.300, 11.925, 1194.000, 14192.000, 152, -68, 2
18275, 11.808, 118.190, 11.926, 1219.300, 13826.000, 152, -68, 2
