time (ms), packet_id, bus voltage (V), total_current (mA), power (mW), loop time (ms) 
33599,481,11.72,598.6,7012,43
33649,482,11.712,579.3,6786,43
33699,483,11.716,604.1,7128,43
33749,484,11.716,581.6,6812,43
33799,485,11.716,597.6,7078,43
33849,486,11.716,582.9,6832,43
33899,487,11.712,592.3,6940,43
33949,488,11.712,617.4,7232,43
33999,489,11.72,595.9,6982,43
34049,490,11.716,607.5,7064,43
34099,491,11.716,595.2,6974,43
34149,492,11.712,598.4,7012,43
34199,493,11.716,597.3,7000,43
34249,494,11.716,595.5,6976,43
34299,495,11.716,594.3,7002,43
34349,496,11.72,553.9,6488,43
34399,497,11.716,595.5,6954,43
34449,498,11.72,595.6,6980,43
34499,499,11.72,582.4,6970,43
34549,500,11.716,606.1,7100,43
34599,501,11.72,583.6,6838,43
34649,502,11.716,583.7,6866,43
34699,503,11.72,588.7,6902,43
34749,504,11.72,567.2,6822,43
34799,505,11.728,565.8,6632,43
34849,506,11.728,537.1,6432,43
34899,507,11.72,569.4,6674,43
34949,508,11.716,590.1,6918,43
34999,509,11.736,565.2,6684,43
35049,510,11.72,560,6566,43
35099,511,11.732,551.5,6656,43
35149,512,11.712,624.1,7308,43
35199,513,11.728,549.7,6812,43
35249,514,11.724,580.1,6806,43
35299,515,11.732,555.4,6518,43
35349,516,11.724,571.7,6430,43
35399,517,11.724,576.1,6754,43
35449,518,11.72,577.6,6766,43
35499,519,11.724,575.2,6744,43
35549,520,11.72,573.2,6632,43
35599,521,11.724,580,6802,43
35649,522,11.716,587.3,6884,43
35699,523,11.72,570.5,6792,43
35749,524,11.724,579.1,6786,43
35799,525,11.724,576.1,6862,43
35849,526,11.716,598.1,7006,43
35899,527,11.716,578.2,6780,43
35949,528,11.72,576.6,6760,43
35999,529,11.72,572.8,6714,43
36049,530,11.72,579.6,6872,43
36099,531,11.724,586.3,6872,43
36149,532,11.724,579.9,6920,43
36199,533,11.708,622.1,7284,43
36249,534,11.72,577,6764,43
36299,535,11.72,588.3,6894,43
36349,536,11.716,580.5,6802,43
36399,537,11.716,579.9,6934,43
36449,538,11.72,586.2,6872,43
36499,539,11.72,583.9,6976,43
36549,540,11.732,558.2,6548,43
36599,541,11.72,588.6,6898,43
36649,542,11.716,590.3,6884,43
36699,543,11.72,585.7,6866,43
36749,544,11.716,596.6,7072,43
36799,545,11.72,582.4,6826,43
36849,546,11.72,578.7,6872,43
36899,547,11.724,587.8,6888,43
36949,548,11.72,584,6846,43
36999,549,11.72,594,6930,43
37049,550,11.72,586.6,6874,43
37099,551,11.732,556.3,6446,43
37149,552,11.716,586.5,6874,43
37199,553,11.72,584.4,6800,43
37249,554,11.728,554.4,6502,43
37299,555,11.716,583.5,6838,43
37349,556,11.712,589.8,6892,43
37399,557,11.72,580,6796,43
37449,558,11.72,584.9,7082,43
37499,559,11.712,616.1,7216,43
37549,560,11.72,585.9,6866,43
37599,561,11.716,600.5,6986,43
37649,562,11.72,583.2,6832,43
37699,563,11.728,559.1,6468,43
37749,564,11.72,595.8,6980,43
37799,565,11.72,584.5,6790,43
37849,566,11.716,602.9,7064,43
37899,567,11.72,581.5,6816,43
37949,568,11.716,594.2,6888,43
37999,569,11.724,600,7028,43
38049,570,11.716,592.7,7020,43
38099,571,11.72,592.2,6938,43
38149,572,11.716,592.4,6964,43
38199,573,11.716,592.3,6940,43
38249,574,11.716,587.9,6892,43
38299,575,11.72,595.8,6856,43
38349,576,11.724,583,6832,43
38399,577,11.704,614.5,7308,43
38449,578,11.7,638.6,7472,43
38499,579,11.716,592.4,6944,43
38549,580,11.704,623.6,7062,43
38599,581,11.716,597.8,7002,43
38649,582,11.708,613,7082,43
38699,583,11.72,600.2,7032,43
38749,584,11.716,598.4,7006,43
38799,585,11.712,596.9,6992,43
38849,586,11.716,589.7,6908,43
38899,587,11.716,598.7,6930,43
38949,588,11.712,627.4,7344,43
38999,589,11.72,586.8,6950,43
39049,590,11.712,610.5,7150,43
39099,591,11.716,599.2,7020,43
39149,592,11.716,588.1,6892,43
39199,593,11.72,584,6846,43
39249,594,11.716,594.6,6954,43
39299,595,11.72,592.9,6950,43
39349,596,11.716,584.3,6918,43
39399,597,11.72,596.3,6986,43
39449,598,11.72,582.5,6826,43
39499,599,11.716,600.8,6878,43
39549,600,11.724,583.1,6832,43
39599,601,11.716,591.9,6908,43
39649,602,11.72,588.4,6898,43
39699,603,11.716,588.5,6888,43
39749,604,11.716,591.8,6938,43
39799,605,11.716,586.9,6874,43
39849,606,11.716,613.5,6940,43
39899,607,11.72,584.3,6846,43
39949,608,11.72,583.9,7012,43
39999,609,11.712,615.2,7206,43
40049,610,11.72,594,6960,43
40099,611,11.712,599.3,7036,43
40149,612,11.728,563.8,6612,43
40199,613,11.712,602,7078,43
40249,614,11.716,601.9,7048,43
40299,615,11.704,625.7,7202,43
40349,616,11.72,587,6878,43
40399,617,11.716,595,6974,43
40449,618,11.72,592.2,6946,43
40499,619,11.72,594.5,6966,43
40549,620,11.712,597.2,7000,43
40599,621,11.716,594.4,6966,43
40649,622,11.716,599.6,7022,43
40699,623,11.72,599.3,6996,43
40749,624,11.728,579.6,6792,43
40799,625,11.72,578.5,6914,43
40849,626,11.724,588.4,6898,43
40899,627,11.716,584.6,6924,43
40949,628,11.712,618.3,7238,43
40999,629,11.72,586.7,6874,43
41049,630,11.72,593.9,6828,43
41099,631,11.72,593.9,6960,43
41149,632,11.716,578,6868,43
41199,633,11.72,584.4,6848,43
41249,634,11.712,595,6970,43
41299,635,11.716,577.3,6902,43
41349,636,11.72,587.4,6878,43
41399,637,11.716,590.8,7020,43
41449,638,11.724,595,6974,43
41499,639,11.72,590.5,6918,43
41549,640,11.72,586.3,6872,43
41599,641,11.716,582.5,6826,43
41649,642,11.716,589,6910,43
41699,643,11.72,590.7,6924,43
41749,644,11.716,581.7,6904,43
41799,645,11.724,580.6,6806,43
41849,646,11.72,582.1,6822,43
41899,647,11.724,585.9,6810,43
41949,648,11.72,589.5,6908,43
41999,649,11.716,589.3,6846,43
42049,650,11.7,586.5,6874,43
42099,651,11.72,582.5,6826,43
42149,652,11.728,562.5,6596,43
42199,653,11.72,584.5,6852,43
42249,654,11.716,587,6894,43
42299,655,11.712,591,6928,43
42349,656,11.72,583.7,6980,43
42399,657,11.72,585.2,6856,43
42449,658,11.716,583.5,6838,43
42499,659,11.716,586.8,7000,43
42549,660,11.724,591.1,6928,43
42599,661,11.716,587.7,6882,43
42649,662,11.72,586.2,6872,43
42699,663,11.72,580.4,6800,43
42749,664,11.716,582.1,6838,43
42799,665,11.736,554.5,6502,43
42849,666,11.72,585.6,6938,43
42899,667,11.736,560.9,6580,43
42949,668,11.716,572.4,6708,43
42999,669,11.716,587,6878,43
43049,670,11.728,548.7,6436,43
43099,671,11.712,587.9,6908,43
43149,672,11.716,591.4,6930,43
43199,673,11.72,581.4,6986,43
43249,674,11.72,582.8,6828,43
43299,675,11.712,578.1,6776,43
43349,676,11.72,590.4,6812,43
43399,677,11.72,583.6,6838,43
43449,678,11.712,599,7114,43
43499,679,11.724,590.1,6918,43
43549,680,11.716,582.4,6822,43
43599,681,11.716,594.8,6858,43
43649,682,11.72,583.1,6836,43
43699,683,11.716,593.9,6790,43
43749,684,11.72,596.7,6992,43
43799,685,11.716,585.7,6866,43
43849,686,11.72,589,6904,43
43899,687,11.724,547.3,6420,43
43949,688,11.72,589.8,6884,43
43999,689,11.724,586.7,6872,43
44049,690,11.72,578.9,6856,43
44099,691,11.728,556.1,6524,43
44149,692,11.716,592.9,6950,43
44199,693,11.716,589.1,6960,43
44249,694,11.72,584,6846,43
44299,695,11.732,553,6620,43
44349,696,11.732,552.8,6484,43
44399,697,11.716,589.3,6904,43
44449,698,11.728,559.7,6472,43
44499,699,11.724,583.1,6836,43
44549,700,11.716,583.3,6902,43
44599,701,11.728,557.5,6538,43
44649,702,11.716,587.3,6884,43
44699,703,11.728,558.4,6520,43
44749,704,11.716,592.1,6938,43
44799,705,11.716,585.8,6982,43
44849,706,11.712,617.6,7232,43
44899,707,11.728,556.9,6534,43
44949,708,11.716,611.9,7174,43
44999,709,11.716,597.5,7002,43
45049,710,11.712,594.7,7046,43
45099,711,11.732,561.9,6590,43
45149,712,11.716,585.6,6902,43
45199,713,11.712,588.6,6898,43
45249,714,11.716,588.5,6894,43
45299,715,11.712,595.6,7000,43
45349,716,11.728,566.4,6642,43
45399,717,11.712,593.5,6938,43
45449,718,11.72,582.9,6828,43
45499,719,11.712,594.8,6970,43
45549,720,11.728,561.1,6534,43
45599,721,11.716,583.4,6836,43
45649,722,11.716,585.4,6990,43
45699,723,11.716,597.6,7002,43
45749,724,11.724,562.2,6590,43
45799,725,11.724,557.3,6600,43
45849,726,11.724,563.1,6602,43
45899,727,11.712,599.5,7022,43
45949,728,11.732,562.4,6596,43
45999,729,11.712,588.9,7020,43
46049,730,11.728,569.6,6682,43
46099,731,11.712,599.6,7026,43
46149,732,11.724,560.7,6702,43
46199,733,11.712,601.2,7042,43
46249,734,11.728,558.7,6524,43
46299,735,11.716,594.2,6964,43
46349,736,11.724,559.2,6556,43
46399,737,11.728,566,6656,43
46449,738,11.728,561.7,6586,43
46499,739,11.716,590.4,6938,43
